record_id,decisionNumber,decisionDate,decision_month,decision_year,domains,domain_register,authority_name
4811159,2а-447/2022,2022-08-15,2022-08,2022,['bubu.pro'],.pro,Нагайбакский районный суд - Челябинская область
4811318,2а-448/2022,2022-08-15,2022-08,2022,['www.ru-xchat.com'],.com,Нагайбакский районный суд - Челябинская область
4825218,2а-400/2022,2022-08-15,2022-08,2022,['pribor.website'],,Троицкий районный суд - Челябинская область
4815266,2а-2413/2022,2022-08-15,2022-08,2022,['ukraina.import-v-rossiu.ru'],.ru,Златоустовский городской суд - Челябинская область
5193952,2а-763/2022,2022-08-15,2022-08,2022,['flagma.es'],.es,Кунашакский районный суд - Челябинская область
4820716,2а-3396/2022,2022-08-15,2022-08,2022,['sykhiv.media'],.media,Металлургический районный суд г. Челябинска - Челябинская область
4887768,2а-3305/2022,2022-08-16,2022-08,2022,['telkipiter.org'],.org,Калининский районный суд г. Челябинска - Челябинская область
4888174,2а-3984/2022,2022-08-16,2022-08,2022,['you.pr-anket.com'],.com,Калининский районный суд г. Челябинска - Челябинская область
4837461,2а-1544/2022,2022-08-17,2022-08,2022,['moon.sb'],.sb,Саткинский городской суд - Челябинская область
4837469,2а-1543/2022,2022-08-17,2022-08,2022,['droping-pro.ru'],.ru,Саткинский городской суд - Челябинская область
4838124,2а-1548/2022,2022-08-17,2022-08,2022,['topcarding-sng.ru'],.ru,Саткинский городской суд - Челябинская область
4837793,2а-1549/2022,2022-08-17,2022-08,2022,['bakal.rusdocuments.com'],.com,Саткинский городской суд - Челябинская область
4837682,2а-1541/2022,2022-08-17,2022-08,2022,['www.captain-rich.xyz'],.xyz,Саткинский городской суд - Челябинская область
4838013,2а-1540/2022,2022-08-17,2022-08,2022,['linkin.group'],.group,Саткинский городской суд - Челябинская область
4837900,2а-1542/2022,2022-08-17,2022-08,2022,['novara.biz'],.biz,Саткинский городской суд - Челябинская область
4842893,2а-1614/2022,2022-08-17,2022-08,2022,['kalyanrao.ru'],.ru,Ленинский районный суд г. Магнитогорска - Челябинская область
4837577,2а-1546/2022,2022-08-17,2022-08,2022,['procrd.pw'],.pw,Саткинский городской суд - Челябинская область
4968651,2а-6234/2022,2022-08-18,2022-08,2022,['kamensk-uralyskiy1.pr-13.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4830545,2а-6222/2022,2022-08-18,2022-08,2022,['magnitogorsk.superindi.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4830464,2а-6222/2022,2022-08-18,2022-08,2022,['magnitogorsk.individualka-tut.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4857494,2а-6217/2022,2022-08-18,2022-08,2022,['meds.shopsprawki.top'],.top,Центральный районный суд г. Челябинска - Челябинская область
4819450,2а-3369/2022,2022-08-18,2022-08,2022,['magnitogorsk.praspec.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
4917087,2а-3710/2022,2022-08-19,2022-08,2022,['shop.домэлитныхчасовтут.рф'],.рф,Советский районный суд г. Челябинска - Челябинская область
4974952,2а-6206/2022,2022-08-19,2022-08,2022,['zlatoust1.soos.su'],.su,Центральный районный суд г. Челябинска - Челябинская область
4830462,2а-6208/2022,2022-08-19,2022-08,2022,['p.ashoo.nl'],.nl,Центральный районный суд г. Челябинска - Челябинская область
4764423,2а-3890/2022,2022-08-22,2022-08,2022,['vulkanclb.co'],.co,Курчатовский районный суд г. Челябинска - Челябинская область
4882579,2а-4046/2022,2022-08-22,2022-08,2022,['tobtab.ru'],.ru,Советский районный суд г. Челябинска - Челябинская область
4882062,2а-4045/2022,2022-08-22,2022-08,2022,['sigarety.pro'],.pro,Советский районный суд г. Челябинска - Челябинская область
4763678,2а-3889/2022,2022-08-22,2022-08,2022,['www.pin-up328.com'],.com,Курчатовский районный суд г. Челябинска - Челябинская область
4843595,2а-3267/2022,2022-08-24,2022-08,2022,['kaluga1.rusudo.com'],.com,Калининский районный суд г. Челябинска - Челябинская область
4876390,2а-4066/2022,2022-08-24,2022-08,2022,['babenki.info'],.info,Советский районный суд г. Челябинска - Челябинская область
4876381,2а-4060/2022,2022-08-24,2022-08,2022,['russianspycam.com'],.com,Советский районный суд г. Челябинска - Челябинская область
4837908,2а-688/2022,2022-08-25,2022-08,2022,['old-biz.ru'],.ru,Агаповский районный суд - Челябинская область
4820694,2а-452/2022,2022-08-25,2022-08,2022,['eroticlab.cc'],.cc,Троицкий районный суд - Челябинская область
4838017,2а-688/2022,2022-08-25,2022-08,2022,['crime-card.ru'],.ru,Агаповский районный суд - Челябинская область
5197125,2а-630/2022,2022-08-25,2022-08,2022,['lyricsreal.com'],.com,Каслинский городской суд - Челябинская область
4838128,2а-688/2022,2022-08-25,2022-08,2022,['kriminal-market.ru'],.ru,Агаповский районный суд - Челябинская область
5193408,2а-631/2022,2022-08-25,2022-08,2022,['www.bolnichnyu-oficialno.com'],.com,Каслинский городской суд - Челябинская область
5035836,2а-452/2022,2022-08-25,2022-08,2022,['eroticlab.pw'],.pw,Троицкий районный суд - Челябинская область
5157215,2а-636/2022,2022-08-25,2022-08,2022,['www.safetymoscow.ru'],.ru,Каслинский городской суд - Челябинская область
4870164,2а-805/2022,2022-08-26,2022-08,2022,['vuzinfo-hj.com'],.com,Еманжелинский городской суд - Челябинская область
4870017,2а-835/2022,2022-08-29,2022-08,2022,['emanzhelinsk.doc-avto.monster'],,Еманжелинский городской суд - Челябинская область
5016694,2а-6635/2022,2022-08-29,2022-08,2022,['indi16.club'],.club,Центральный районный суд г. Челябинска - Челябинская область
5078818,2а-830/2022,2022-08-29,2022-08,2022,['soulcats.ru'],.ru,Агаповский районный суд - Челябинская область
5062458,2а-804/2022,2022-08-29,2022-08,2022,['miass.ero-paradise.org'],.org,Агаповский районный суд - Челябинская область
5061860,2а-836/2022,2022-08-29,2022-08,2022,['snus.market'],.market,Агаповский районный суд - Челябинская область
4876992,2а-3766/2022,2022-08-31,2022-08,2022,['progolyh.com'],.com,Советский районный суд г. Челябинска - Челябинская область
5035549,2а-3844/2022,2022-09-01,2022-09,2022,['a.delhiescorts.news'],.news,Калининский районный суд г. Челябинска - Челябинская область
5034348,2а-3848/2022,2022-09-01,2022-09,2022,['e-joken.ru'],.ru,Калининский районный суд г. Челябинска - Челябинская область
5103827,2а-3706/2022,2022-09-02,2022-09,2022,['elektrofokus3.top'],.top,Тракторозаводский районный суд г. Челябинска - Челябинская область
4917827,2а-3693/2022,2022-09-02,2022-09,2022,['brandbase.art'],.art,Советский районный суд г. Челябинска - Челябинская область
4982678,2а-3694/2022,2022-09-02,2022-09,2022,['e-stock.youbagsese.com'],.com,Советский районный суд г. Челябинска - Челябинская область
4982307,2а-3698/2022,2022-09-02,2022-09,2022,['angelbags.guru'],.guru,Советский районный суд г. Челябинска - Челябинская область
5030203,2а-822/2022,2022-09-02,2022-09,2022,['ru-2ndflufa-bn.ru'],.ru,Агаповский районный суд - Челябинская область
4930344,2а-489/2022,2022-09-05,2022-09,2022,['hamsterix.xyz'],.xyz,Троицкий районный суд - Челябинская область
5067168,2-548/2022,2022-09-09,2022-09,2022,['www.kompromatural.ru'],.ru,Еткульский районный суд - Челябинская область
5067235,2-548/2022,2022-09-09,2022-09,2022,['www.kompromatural.ru'],.ru,Еткульский районный суд - Челябинская область
5067237,2-548/2022,2022-09-09,2022-09,2022,['www.kompromatural.ru'],.ru,Еткульский районный суд - Челябинская область
4963297,2а-865/2022,2022-09-15,2022-09,2022,['kriminal-market.ru'],.ru,Агаповский районный суд - Челябинская область
4963028,2а-866/2022,2022-09-15,2022-09,2022,['gunzi-salings.ru'],.ru,Агаповский районный суд - Челябинская область
4982565,2а-4829/2022,2022-09-19,2022-09,2022,['shop-coffee.ru'],.ru,Советский районный суд г. Челябинска - Челябинская область
4982440,2а-4829/2022,2022-09-19,2022-09,2022,['shop-coffee.ru'],.ru,Советский районный суд г. Челябинска - Челябинская область
4982808,2а-4859/2022,2022-09-19,2022-09,2022,['wep.sozrel.online'],.online,Советский районный суд г. Челябинска - Челябинская область
4935974,2а-1028/2022,2022-09-20,2022-09,2022,['xn--2-ztbcbch.cam'],.cam,Троицкий районный суд - Челябинская область
5126215,2а-3415/2022,2022-09-20,2022-09,2022,['magnitogorsk.registrator-propiska.online'],.online,Металлургический районный суд г. Челябинска - Челябинская область
5125810,2а-3418/2022,2022-09-20,2022-09,2022,['new-propiska.ru'],.ru,Металлургический районный суд г. Челябинска - Челябинская область
5126114,2а-3415/2022,2022-09-20,2022-09,2022,['magnitogorsk.propiska-plus.ru'],.ru,Металлургический районный суд г. Челябинска - Челябинская область
5009943,2а-4066/2022,2022-09-23,2022-09,2022,['m.avroramodels.net'],.net,Металлургический районный суд г. Челябинска - Челябинская область
5035765,2а-1056/2022,2022-09-27,2022-09,2022,['huesoska.com'],.com,Троицкий городской суд - Челябинская область
4997657,2а-1008/2022,2022-09-30,2022-09,2022,['escortswomanvipx.store'],.store,Еманжелинский городской суд - Челябинская область
